Economy,Code,Region,Income group
Afghanistan,AFG,South Asia,Low
Albania,ALB,Europe & Central Asia,Upper middle
Algeria,DZA,Middle East & North Africa,Upper middle
American Samoa,ASM,East Asia & Pacific,Upper middle
Andorra,AND,Europe & Central Asia,High
Angola,AGO,Sub-Saharan Africa,Lower middle
Antigua and Barbuda,ATG,Latin America & Caribbean,High
Argentina,ARG,Latin America & Caribbean,High
Armenia,ARM,Europe & Central Asia,Upper middle
Aruba,ABW,Latin America & Caribbean,High
Australia,AUS,East Asia & Pacific,High
Austria,AUT,Europe & Central Asia,High
Azerbaijan,AZE,Europe & Central Asia,Upper middle
"Bahamas, The",BHS,Latin America & Caribbean,High
Bahrain,BHR,Middle East & North Africa,High
Bangladesh,BGD,South Asia,Lower middle
Barbados,BRB,Latin America & Caribbean,High
Belarus,BLR,Europe & Central Asia,Upper middle
Belgium,BEL,Europe & Central Asia,High
Belize,BLZ,Latin America & Caribbean,Upper middle
Benin,BEN,Sub-Saharan Africa,Low
Bermuda,BMU,North America,High
Bhutan,BTN,South Asia,Lower middle
Bolivia,BOL,Latin America & Caribbean,Lower middle
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle
Botswana,BWA,Sub-Saharan Africa,Upper middle
Brazil,BRA,Latin America & Caribbean,Upper middle
British Virgin Islands,VGB,Latin America & Caribbean,High
Brunei Darussalam,BRN,East Asia & Pacific,High
Bulgaria,BGR,Europe & Central Asia,Upper middle
Burkina Faso,BFA,Sub-Saharan Africa,Low
Burundi,BDI,Sub-Saharan Africa,Low
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle
Cambodia,KHM,East Asia & Pacific,Lower middle
Cameroon,CMR,Sub-Saharan Africa,Lower middle
Canada,CAN,North America,High
Cayman Islands,CYM,Latin America & Caribbean,High
Central African Republic,CAF,Sub-Saharan Africa,Low
Chad,TCD,Sub-Saharan Africa,Low
Channel Islands,CHI,Europe & Central Asia,High
Chile,CHL,Latin America & Caribbean,High
China,CHN,East Asia & Pacific,Upper middle
Colombia,COL,Latin America & Caribbean,Upper middle
Comoros,COM,Sub-Saharan Africa,Low
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle
Costa Rica,CRI,Latin America & Caribbean,Upper middle
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle
Croatia,HRV,Europe & Central Asia,High
Cuba,CUB,Latin America & Caribbean,Upper middle
Curaçao,CUW,Latin America & Caribbean,High
Cyprus,CYP,Europe & Central Asia,High
Czech Republic,CZE,Europe & Central Asia,High
Denmark,DNK,Europe & Central Asia,High
Djibouti,DJI,Middle East & North Africa,Lower middle
Dominica,DMA,Latin America & Caribbean,Upper middle
Dominican Republic,DOM,Latin America & Caribbean,Upper middle
Ecuador,ECU,Latin America & Caribbean,Upper middle
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle
El Salvador,SLV,Latin America & Caribbean,Lower middle
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle
Eritrea,ERI,Sub-Saharan Africa,Low
Estonia,EST,Europe & Central Asia,High
Ethiopia,ETH,Sub-Saharan Africa,Low
Faroe Islands,FRO,Europe & Central Asia,High
Fiji,FJI,East Asia & Pacific,Upper middle
Finland,FIN,Europe & Central Asia,High
France,FRA,Europe & Central Asia,High
French Polynesia,PYF,East Asia & Pacific,High
Gabon,GAB,Sub-Saharan Africa,Upper middle
"Gambia, The",GMB,Sub-Saharan Africa,Low
Georgia,GEO,Europe & Central Asia,Lower middle
Germany,DEU,Europe & Central Asia,High
Ghana,GHA,Sub-Saharan Africa,Lower middle
Gibraltar,GIB,Europe & Central Asia,High
Greece,GRC,Europe & Central Asia,High
Greenland,GRL,Europe & Central Asia,High
Grenada,GRD,Latin America & Caribbean,Upper middle
Guam,GUM,East Asia & Pacific,High
Guatemala,GTM,Latin America & Caribbean,Upper middle
Guinea,GIN,Sub-Saharan Africa,Low
Guinea-Bissau,GNB,Sub-Saharan Africa,Low
Guyana,GUY,Latin America & Caribbean,Upper middle
Haiti,HTI,Latin America & Caribbean,Low
Honduras,HND,Latin America & Caribbean,Lower middle
"Hong Kong SAR, China",HKG,East Asia & Pacific,High
Hungary,HUN,Europe & Central Asia,High
Iceland,ISL,Europe & Central Asia,High
India,IND,South Asia,Lower middle
Indonesia,IDN,East Asia & Pacific,Lower middle
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle
Iraq,IRQ,Middle East & North Africa,Upper middle
Ireland,IRL,Europe & Central Asia,High
Isle of Man,IMN,Europe & Central Asia,High
Israel,ISR,Middle East & North Africa,High
Italy,ITA,Europe & Central Asia,High
Jamaica,JAM,Latin America & Caribbean,Upper middle
Japan,JPN,East Asia & Pacific,High
Jordan,JOR,Middle East & North Africa,Upper middle
Kazakhstan,KAZ,Europe & Central Asia,Upper middle
Kenya,KEN,Sub-Saharan Africa,Lower middle
Kiribati,KIR,East Asia & Pacific,Lower middle
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low
"Korea, Rep.",KOR,East Asia & Pacific,High
Kosovo,XKX,Europe & Central Asia,Lower middle
Kuwait,KWT,Middle East & North Africa,High
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle
Lao PDR,LAO,East Asia & Pacific,Lower middle
Latvia,LVA,Europe & Central Asia,High
Lebanon,LBN,Middle East & North Africa,Upper middle
Lesotho,LSO,Sub-Saharan Africa,Lower middle
Liberia,LBR,Sub-Saharan Africa,Low
Libya,LBY,Middle East & North Africa,Upper middle
Liechtenstein,LIE,Europe & Central Asia,High
Lithuania,LTU,Europe & Central Asia,High
Luxembourg,LUX,Europe & Central Asia,High
"Macao SAR, China",MAC,East Asia & Pacific,High
"Macedonia, FYR",MKD,Europe & Central Asia,Upper middle
Madagascar,MDG,Sub-Saharan Africa,Low
Malawi,MWI,Sub-Saharan Africa,Low
Malaysia,MYS,East Asia & Pacific,Upper middle
Maldives,MDV,South Asia,Upper middle
Mali,MLI,Sub-Saharan Africa,Low
Malta,MLT,Middle East & North Africa,High
Marshall Islands,MHL,East Asia & Pacific,Upper middle
Mauritania,MRT,Sub-Saharan Africa,Lower middle
Mauritius,MUS,Sub-Saharan Africa,Upper middle
Mexico,MEX,Latin America & Caribbean,Upper middle
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle
Moldova,MDA,Europe & Central Asia,Lower middle
Monaco,MCO,Europe & Central Asia,High
Mongolia,MNG,East Asia & Pacific,Lower middle
Montenegro,MNE,Europe & Central Asia,Upper middle
Morocco,MAR,Middle East & North Africa,Lower middle
Mozambique,MOZ,Sub-Saharan Africa,Low
Myanmar,MMR,East Asia & Pacific,Lower middle
Namibia,NAM,Sub-Saharan Africa,Upper middle
Nauru,NRU,East Asia & Pacific,Upper middle
Nepal,NPL,South Asia,Low
Netherlands,NLD,Europe & Central Asia,High
New Caledonia,NCL,East Asia & Pacific,High
New Zealand,NZL,East Asia & Pacific,High
Nicaragua,NIC,Latin America & Caribbean,Lower middle
Niger,NER,Sub-Saharan Africa,Low
Nigeria,NGA,Sub-Saharan Africa,Lower middle
Northern Mariana Islands,MNP,East Asia & Pacific,High
Norway,NOR,Europe & Central Asia,High
Oman,OMN,Middle East & North Africa,High
Pakistan,PAK,South Asia,Lower middle
Palau,PLW,East Asia & Pacific,High
Panama,PAN,Latin America & Caribbean,High
Papua New Guinea,PNG,East Asia & Pacific,Lower middle
Paraguay,PRY,Latin America & Caribbean,Upper middle
Peru,PER,Latin America & Caribbean,Upper middle
Philippines,PHL,East Asia & Pacific,Lower middle
Poland,POL,Europe & Central Asia,High
Portugal,PRT,Europe & Central Asia,High
Puerto Rico,PRI,Latin America & Caribbean,High
Qatar,QAT,Middle East & North Africa,High
Romania,ROU,Europe & Central Asia,Upper middle
Russian Federation,RUS,Europe & Central Asia,Upper middle
Rwanda,RWA,Sub-Saharan Africa,Low
Samoa,WSM,East Asia & Pacific,Upper middle
San Marino,SMR,Europe & Central Asia,High
São Tomé and Principe,STP,Sub-Saharan Africa,Lower middle
Saudi Arabia,SAU,Middle East & North Africa,High
Senegal,SEN,Sub-Saharan Africa,Low
Serbia,SRB,Europe & Central Asia,Upper middle
Seychelles,SYC,Sub-Saharan Africa,High
Sierra Leone,SLE,Sub-Saharan Africa,Low
Singapore,SGP,East Asia & Pacific,High
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High
Slovak Republic,SVK,Europe & Central Asia,High
Slovenia,SVN,Europe & Central Asia,High
Solomon Islands,SLB,East Asia & Pacific,Lower middle
Somalia,SOM,Sub-Saharan Africa,Low
South Africa,ZAF,Sub-Saharan Africa,Upper middle
